t_ms,rpm,cons
729,33.2,35.0
729,35.57,35.0
729,33.2,35.0
729,37.19,35.0
739,35.57,35.0
739,33.2,35.0
739,33.2,35.0
739,35.57,35.0
739,35.57,35.0
750,33.2,35.0
750,35.57,35.0
750,37.19,35.0
750,33.2,35.0
761,35.57,35.0
761,33.2,35.0
761,35.57,35.0
761,35.57,35.0
761,33.2,35.0
771,35.57,35.0
771,34.71,35.0
771,35.57,35.0
771,33.2,35.0
771,35.57,35.0
782,35.57,35.0
782,33.2,35.0
782,35.57,35.0
782,33.2,35.0
793,35.57,35.0
793,37.19,35.0
793,33.2,35.0
793,35.57,35.0
793,33.2,35.0
803,35.57,35.0
803,33.2,35.0
803,35.57,35.0
803,35.57,35.0
813,34.71,35.0
813,35.57,35.0
813,33.2,35.0
813,35.57,35.0
813,35.57,35.0
823,33.2,35.0
823,35.57,35.0
823,33.2,35.0
823,37.19,35.0
823,35.57,35.0
834,33.2,35.0
834,33.2,35.0
834,35.57,35.0
834,35.57,35.0
845,35.57,35.0
845,33.2,35.0
845,35.57,35.0
845,37.19,35.0
845,33.2,35.0
855,33.2,35.0
855,35.57,35.0
855,35.57,35.0
855,35.57,35.0
865,33.2,35.0
865,35.57,35.0
865,34.71,35.0
865,35.57,35.0
865,35.57,35.0
875,33.2,35.0
875,35.57,35.0
875,33.2,35.0
875,35.57,35.0
886,35.57,35.0
886,34.71,35.0
886,35.57,35.0
886,35.57,35.0
886,33.2,35.0
896,35.57,35.0
896,33.2,35.0
896,35.57,35.0
896,35.57,35.0
